artist_name,album_name,track_name,markets,duration,played_at,id,popularity,track_number,track_type,uri
Maverick City Music,The Maverick Way Complete,Can't Take My Worship (feat. Travis Greene),"AR,AU,AT,BE,BO,BR,BG,CA,CL,CO,CR,CY,CZ,DE,DK,DO,EC,EE,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JP,KR,LT,LV,MC,MT,MX,MY,NI,NL,NO,NZ,PA,PE,PH,PL,PT,PY,RO,SE,SG,SI,SK,SV,TH,TR,TW,UA,US,UY,VN",504811,2024-11-17T18:00:40.922Z,6XHtTzc2ksSz2T0wfMSaGf,35,19,track,spotify:track:6XHtTzc2ksSz2T0wfMSaGf
Naomi Raine,The Maverick Way Complete,Can't Take My Worship (feat. Travis Greene),"AR,AU,AT,BE,BO,BR,BG,CA,CL,CO,CR,CY,CZ,DE,DK,DO,EC,EE,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JP,KR,LT,LV,MC,MT,MX,MY,NI,NL,NO,NZ,PA,PE,PH,PL,PT,PY,RO,SE,SG,SI,SK,SV,TH,TR,TW,UA,US,UY,VN",504811,2024-11-17T18:00:40.922Z,6XHtTzc2ksSz2T0wfMSaGf,35,19,track,spotify:track:6XHtTzc2ksSz2T0wfMSaGf
Chandler Moore,The Maverick Way Complete,Can't Take My Worship (feat. Travis Greene),"AR,AU,AT,BE,BO,BR,BG,CA,CL,CO,CR,CY,CZ,DE,DK,DO,EC,EE,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JP,KR,LT,LV,MC,MT,MX,MY,NI,NL,NO,NZ,PA,PE,PH,PL,PT,PY,RO,SE,SG,SI,SK,SV,TH,TR,TW,UA,US,UY,VN",504811,2024-11-17T18:00:40.922Z,6XHtTzc2ksSz2T0wfMSaGf,35,19,track,spotify:track:6XHtTzc2ksSz2T0wfMSaGf
Travis Greene,The Maverick Way Complete,Can't Take My Worship (feat. Travis Greene),"AR,AU,AT,BE,BO,BR,BG,CA,CL,CO,CR,CY,CZ,DE,DK,DO,EC,EE,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JP,KR,LT,LV,MC,MT,MX,MY,NI,NL,NO,NZ,PA,PE,PH,PL,PT,PY,RO,SE,SG,SI,SK,SV,TH,TR,TW,UA,US,UY,VN",504811,2024-11-17T18:00:40.922Z,6XHtTzc2ksSz2T0wfMSaGf,35,19,track,spotify:track:6XHtTzc2ksSz2T0wfMSaGf
Travis Greene,Crossover: Live From Music City,Be Still (Live),"AR,AU,AT,BE,BO,BR,BG,CA,CL,CO,CR,CY,CZ,DE,DK,DO,EC,EE,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JP,KR,LT,LV,MC,MT,MX,MY,NI,NL,NO,NZ,PA,PE,PH,PL,PT,PY,RO,SE,SG,SI,SK,SV,TH,TR,TW,UA,US,UY,VN",357960,2024-11-17T17:43:32.651Z,1aw0nfjawvMpiY0O75Yl24,40,5,track,spotify:track:1aw0nfjawvMpiY0O75Yl24
Tim Godfrey,Nara,Nara,"AR,AU,AT,BE,BO,BR,BG,CA,CL,CO,CR,CY,CZ,DE,DK,DO,EC,EE,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JP,KR,LT,LV,MC,MT,MX,MY,NI,NL,NO,NZ,PA,PE,PH,PL,PT,PY,RO,SE,SG,SI,SK,SV,TH,TR,TW,UA,US,UY,VN",296320,2024-11-17T17:37:39.041Z,4cOdaT4uVp3xzVqF9l3Xx0,49,2,track,spotify:track:4cOdaT4uVp3xzVqF9l3Xx0
Travis Greene,Nara,Nara,"AR,AU,AT,BE,BO,BR,BG,CA,CL,CO,CR,CY,CZ,DE,DK,DO,EC,EE,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JP,KR,LT,LV,MC,MT,MX,MY,NI,NL,NO,NZ,PA,PE,PH,PL,PT,PY,RO,SE,SG,SI,SK,SV,TH,TR,TW,UA,US,UY,VN",296320,2024-11-17T17:37:39.041Z,4cOdaT4uVp3xzVqF9l3Xx0,49,2,track,spotify:track:4cOdaT4uVp3xzVqF9l3Xx0
Travis Greene,Crossover: Live From Music City,You Waited (Extended Version) [Live],"AR,AU,AT,BE,BO,BR,BG,CA,CL,CO,CR,CY,CZ,DE,DK,DO,EC,EE,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JP,KR,LT,LV,MC,MT,MX,MY,NI,NL,NO,NZ,PA,PE,PH,PL,PT,PY,RO,SE,SG,SI,SK,SV,TH,TR,TW,UA,US,UY,VN",349020,2024-11-17T17:32:47.994Z,6RCAIeVJRWgOaeFkQDzn15,45,8,track,spotify:track:6RCAIeVJRWgOaeFkQDzn15
Travis Greene,The Hill,Made A Way,"AR,AU,AT,BE,BO,BR,BG,CA,CL,CO,CR,CY,CZ,DE,DK,DO,EC,EE,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JP,KR,LT,LV,MC,MT,MX,MY,NI,NL,NO,NZ,PA,PE,PH,PL,PT,PY,RO,SE,SG,SI,SK,SV,TH,TR,TW,UA,US,UY,VN",591333,2024-11-17T17:27:03.556Z,7gricPHxqsVEq1Lml7BFVu,52,5,track,spotify:track:7gricPHxqsVEq1Lml7BFVu
Travis Greene,Tent Revival,TENT REVIVAL (feat. D'Nar),"AR,AU,AT,BE,BO,BR,BG,CA,CL,CO,CR,CY,CZ,DE,DK,DO,EC,EE,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JP,KR,LT,LV,MC,MT,MX,MY,NI,NL,NO,NZ,PA,PE,PH,PL,PT,PY,RO,SE,SG,SI,SK,SV,TH,TR,TW,UA,US,UY,VN",480000,2024-11-17T17:17:17.044Z,5d90SkHPZcxWyr0EQzW9ki,35,1,track,spotify:track:5d90SkHPZcxWyr0EQzW9ki
Forward City,Tent Revival,TENT REVIVAL (feat. D'Nar),"AR,AU,AT,BE,BO,BR,BG,CA,CL,CO,CR,CY,CZ,DE,DK,DO,EC,EE,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JP,KR,LT,LV,MC,MT,MX,MY,NI,NL,NO,NZ,PA,PE,PH,PL,PT,PY,RO,SE,SG,SI,SK,SV,TH,TR,TW,UA,US,UY,VN",480000,2024-11-17T17:17:17.044Z,5d90SkHPZcxWyr0EQzW9ki,35,1,track,spotify:track:5d90SkHPZcxWyr0EQzW9ki
D'Nar,Tent Revival,TENT REVIVAL (feat. D'Nar),"AR,AU,AT,BE,BO,BR,BG,CA,CL,CO,CR,CY,CZ,DE,DK,DO,EC,EE,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JP,KR,LT,LV,MC,MT,MX,MY,NI,NL,NO,NZ,PA,PE,PH,PL,PT,PY,RO,SE,SG,SI,SK,SV,TH,TR,TW,UA,US,UY,VN",480000,2024-11-17T17:17:17.044Z,5d90SkHPZcxWyr0EQzW9ki,35,1,track,spotify:track:5d90SkHPZcxWyr0EQzW9ki
Travis Greene,Tent Revival,WATCH HIM TURN IT,"AR,AU,AT,BE,BO,BR,BG,CA,CL,CO,CR,CY,CZ,DE,DK,DO,EC,EE,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JP,KR,LT,LV,MC,MT,MX,MY,NI,NL,NO,NZ,PA,PE,PH,PL,PT,PY,RO,SE,SG,SI,SK,SV,TH,TR,TW,UA,US,UY,VN",370826,2024-11-17T17:00:23.857Z,6EkIQPecZ6kfputUdqcbBv,30,4,track,spotify:track:6EkIQPecZ6kfputUdqcbBv
Forward City,Tent Revival,WATCH HIM TURN IT,"AR,AU,AT,BE,BO,BR,BG,CA,CL,CO,CR,CY,CZ,DE,DK,DO,EC,EE,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JP,KR,LT,LV,MC,MT,MX,MY,NI,NL,NO,NZ,PA,PE,PH,PL,PT,PY,RO,SE,SG,SI,SK,SV,TH,TR,TW,UA,US,UY,VN",370826,2024-11-17T17:00:23.857Z,6EkIQPecZ6kfputUdqcbBv,30,4,track,spotify:track:6EkIQPecZ6kfputUdqcbBv
William McDowell,The Cry: A Live Worship Experience,Nothing Like Your Presence - Live From...,"AR,AU,AT,BE,BO,BR,BG,CA,CL,CO,CR,CY,CZ,DE,DK,DO,EC,EE,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JP,KR,LT,LV,MC,MT,MX,MY,NI,NL,NO,NZ,PA,PE,PH,PL,PT,PY,RO,SE,SG,SI,SK,SV,TH,TR,TW,UA,US,UY,VN",894626,2024-11-17T16:52:00.300Z,1HcXsgOfC1phVxNgVKtuQu,41,15,track,spotify:track:1HcXsgOfC1phVxNgVKtuQu
Travis Greene,The Cry: A Live Worship Experience,Nothing Like Your Presence - Live From...,"AR,AU,AT,BE,BO,BR,BG,CA,CL,CO,CR,CY,CZ,DE,DK,DO,EC,EE,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JP,KR,LT,LV,MC,MT,MX,MY,NI,NL,NO,NZ,PA,PE,PH,PL,PT,PY,RO,SE,SG,SI,SK,SV,TH,TR,TW,UA,US,UY,VN",894626,2024-11-17T16:52:00.300Z,1HcXsgOfC1phVxNgVKtuQu,41,15,track,spotify:track:1HcXsgOfC1phVxNgVKtuQu
Nathaniel Bassey,The Cry: A Live Worship Experience,Nothing Like Your Presence - Live From...,"AR,AU,AT,BE,BO,BR,BG,CA,CL,CO,CR,CY,CZ,DE,DK,DO,EC,EE,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JP,KR,LT,LV,MC,MT,MX,MY,NI,NL,NO,NZ,PA,PE,PH,PL,PT,PY,RO,SE,SG,SI,SK,SV,TH,TR,TW,UA,US,UY,VN",894626,2024-11-17T16:52:00.300Z,1HcXsgOfC1phVxNgVKtuQu,41,15,track,spotify:track:1HcXsgOfC1phVxNgVKtuQu
Da' T.R.U.T.H.,Bridges,Sound of Victory,"AR,AU,AT,BE,BO,BR,BG,CA,CL,CO,CR,CY,CZ,DE,DK,DO,EC,EE,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JP,KR,LT,LV,MC,MT,MX,MY,NI,NL,NO,NZ,PA,PE,PH,PL,PT,PY,RO,SE,SG,SI,SK,SV,TH,TR,TW,UA,US,UY,VN",212784,2024-11-17T16:37:07.647Z,2UaaxShFAXOYTVUD36skZP,35,8,track,spotify:track:2UaaxShFAXOYTVUD36skZP
Limoblaze,Bridges,Sound of Victory,"AR,AU,AT,BE,BO,BR,BG,CA,CL,CO,CR,CY,CZ,DE,DK,DO,EC,EE,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JP,KR,LT,LV,MC,MT,MX,MY,NI,NL,NO,NZ,PA,PE,PH,PL,PT,PY,RO,SE,SG,SI,SK,SV,TH,TR,TW,UA,US,UY,VN",212784,2024-11-17T16:37:07.647Z,2UaaxShFAXOYTVUD36skZP,35,8,track,spotify:track:2UaaxShFAXOYTVUD36skZP
